Time, Radius, MaxSpeed, ActualSpeed
231.4707,Infinity,33.81434,33.81434,
231.9804,Infinity,33.81434,33.81434,
232.4962,Infinity,33.81434,33.81434,
233.0164,Infinity,33.81434,33.81434,
233.5397,Infinity,33.81434,33.81434,
234.0644,Infinity,33.81434,33.81434,
234.5892,Infinity,33.81434,33.81434,
235.1124,Infinity,33.81434,33.81434,
235.6327,Infinity,33.81434,33.81434,
236.1484,Infinity,33.81434,33.81434,
236.6582,Infinity,33.81434,33.81434,
237.1604,Infinity,33.81434,33.81434,
237.6537,Infinity,33.81434,33.81434,
238.1364,Infinity,33.81434,33.81434,
238.6072,Infinity,33.81434,33.81434,
239.0644,Infinity,33.81434,33.81434,
239.5217,Infinity,33.81434,33.81434,
239.9924,Infinity,33.81434,33.81434,
240.4752,Infinity,33.81434,33.81434,
240.9684,Infinity,33.81434,33.81434,
241.4707,Infinity,33.81434,33.81434,
241.9804,Infinity,33.81434,33.81434,
242.4962,Infinity,33.81434,33.81434,
243.0164,Infinity,33.81434,33.81434,
243.5397,Infinity,33.81434,33.81434,
244.0644,Infinity,33.81434,33.81434,
244.5892,Infinity,33.81434,33.81434,
245.1124,Infinity,33.81434,33.81434,
245.6327,Infinity,33.81434,33.81434,
246.1484,Infinity,33.81434,33.81434,
246.6582,Infinity,33.81434,33.81434,
247.1604,Infinity,33.81434,33.81434,
247.6537,Infinity,33.81434,33.81434,
248.1364,Infinity,33.81434,33.81434,
248.6072,Infinity,33.81434,33.81434,
249.0644,Infinity,33.81434,33.81434,
249.5217,Infinity,33.81434,33.81434,
249.9924,Infinity,33.81434,33.81434,
250.4752,Infinity,33.81434,33.81434,
250.9684,Infinity,33.81434,33.81434,
251.4707,Infinity,33.81434,33.81434,
251.9804,Infinity,33.81434,33.81434,
252.4962,Infinity,33.81434,33.81434,
253.0164,Infinity,33.81434,33.81434,
253.5397,Infinity,33.81434,33.81434,
254.0644,Infinity,33.81434,33.81434,
254.5892,Infinity,33.81434,33.81434,
255.1124,Infinity,33.81434,33.81434,
255.6327,Infinity,33.81434,33.81434,
256.1484,Infinity,33.81434,33.44773,
256.6582,Infinity,33.81434,31.67055,
257.1605,Infinity,33.81434,29.82304,
257.6537,Infinity,33.81434,27.91054,
258.1365,Infinity,33.81434,25.9398,
258.6072,Infinity,33.81434,23.91908,
259.0645,Infinity,33.81434,21.8584,
259.5234,11.75909,19.68635,19.68635,
259.9993,15.54594,22.59772,21.93827,
260.4902,20.96362,26.46666,24.14671,
260.9942,29.34751,31.76655,26.29828,
261.5092,44.23783,33.81434,28.38138,
262.033,79.06114,33.81434,30.38644,
262.5632,270.3937,33.81434,32.30582,
263.0977,214.7841,33.81434,33.81434,
263.6341,78.3535,33.81434,33.64254,
264.1702,47.76673,33.81434,31.77952,
264.7039,33.93167,33.81434,29.81575,
265.2333,25.86001,29.66335,27.75482,
265.7563,20.47309,26.13071,25.60108,
266.2715,16.57551,23.3598,23.3598,
266.7774,13.60909,21.12993,21.12993,
267.2729,11.27979,19.30572,19.30572,
267.7574,9.418653,17.80182,17.80182,
268.2309,7.921756,16.5624,16.5624,
268.6939,6.721455,15.54932,15.54932,
269.1477,5.771582,14.93216,14.93216,
269.4716,5.597078,14.93216,14.93216,
269.8067,6.45839,15.325,15.325,
270.152,7.351793,16.08347,16.08347,
270.5065,8.249587,16.83611,16.83611,
270.869,9.120823,17.55734,17.55734,
271.2382,9.93273,18.22134,18.22134,
271.613,10.65253,18.80346,18.80346,
271.9919,11.24947,19.28155,19.28155,
272.3736,11.69687,19.63709,19.63709,
272.7567,11.97405,19.85618,19.85618,
273.1397,12.06794,19.93018,19.93018,
273.5214,11.97405,19.85618,19.85618,
273.9003,11.69687,19.63709,19.63709,
274.2751,11.24947,19.28155,19.28155,
274.6443,10.65253,18.80346,18.80346,
275.0068,9.93273,18.22134,18.22134,
275.3613,9.120823,17.55734,17.55734,
275.7065,8.249587,16.83611,16.83611,
276.0416,7.351793,16.08347,16.08347,
276.3656,6.458392,15.325,15.325,
276.8194,5.039597,14.93216,14.93216,
277.2823,5.771582,14.93216,14.93216,
277.7558,6.721454,15.54932,15.54932,
278.2404,7.921759,16.5624,16.5624,
278.7359,9.418652,17.80182,17.80182,
279.2418,11.27979,19.30572,19.30572,
279.7569,13.60909,21.12993,21.12993,
280.28,16.57551,23.3598,23.3598,
280.8093,20.4731,26.13072,25.66268,
281.3431,25.86001,29.66335,27.85698,
281.8792,33.93167,33.81434,29.93872,
282.4156,47.76673,33.81434,31.90539,
282.9501,78.35355,33.81434,33.75558,
283.4803,214.7837,33.81434,33.81434,
284.0041,270.3937,33.81434,32.38108,
284.519,79.06114,33.81434,30.52431,
285.0231,44.23782,33.81434,28.60653,
285.514,29.3475,31.76654,26.63805,
285.9898,20.96362,26.46666,24.63081,
286.4488,15.54594,22.59772,22.59772,
286.906,Infinity,33.81434,24.62324,
287.3768,Infinity,33.81434,26.60935,
287.8595,Infinity,33.81434,28.54647,
288.3528,Infinity,33.81434,30.42635,
288.855,Infinity,33.81434,32.24235,
289.3648,Infinity,33.81434,33.81434,
289.8806,Infinity,33.81434,33.81434,
290.4008,Infinity,33.81434,33.81434,
290.9241,Infinity,33.81434,33.81434,
291.4488,Infinity,33.81434,33.81434,
291.9736,Infinity,33.81434,33.81434,
292.4968,Infinity,33.81434,33.81434,
293.0171,Infinity,33.81434,33.81434,
293.5328,Infinity,33.81434,33.81434,
294.0426,Infinity,33.81434,33.81434,
294.5449,Infinity,33.81434,33.81434,
295.0381,Infinity,33.81434,33.81434,
295.5208,Infinity,33.81434,33.81434,
295.9916,Infinity,33.81434,33.81434,
296.4488,Infinity,33.81434,33.81434,
296.9061,Infinity,33.81434,33.81434,
297.3768,Infinity,33.81434,33.81434,
297.8596,Infinity,33.81434,33.81434,
298.3528,Infinity,33.81434,33.81434,
298.8551,Infinity,33.81434,33.81434,
299.3648,Infinity,33.81434,33.81434,
299.8806,Infinity,33.81434,33.81434,
300.4008,Infinity,33.81434,33.81434,
300.9241,Infinity,33.81434,33.81434,
301.4488,Infinity,33.81434,33.81434,
301.9736,Infinity,33.81434,33.81434,
302.4968,Infinity,33.81434,33.81434,
303.0171,Infinity,33.81434,33.81434,
303.5328,Infinity,33.81434,33.81434,
304.0426,Infinity,33.81434,33.81434,
304.5449,Infinity,33.81434,33.81434,
305.0381,Infinity,33.81434,33.81434,
305.5208,Infinity,33.81434,33.81434,
305.9916,Infinity,33.81434,33.81434,
306.4488,Infinity,33.81434,33.81434,
306.9061,Infinity,33.81434,33.81434,
307.3768,Infinity,33.81434,33.81434,
307.8596,Infinity,33.81434,33.81434,
308.3528,Infinity,33.81434,33.81434,
308.855,Infinity,33.81434,33.81434,
309.3648,Infinity,33.81434,33.81434,
309.8806,Infinity,33.81434,33.81434,
310.4008,Infinity,33.81434,33.81434,
310.9241,Infinity,33.81434,33.81434,
311.4488,Infinity,33.81434,33.81434,
311.9736,Infinity,33.81434,33.81434,
312.4968,Infinity,33.81434,33.81434,
313.0171,Infinity,33.81434,33.81434,
313.5328,Infinity,33.81434,33.81434,
314.0426,Infinity,33.81434,33.81434,
314.5449,Infinity,33.81434,33.81434,
315.0381,Infinity,33.81434,33.81434,
315.5208,Infinity,33.81434,33.81434,
315.9916,Infinity,33.81434,33.81434,
316.4488,Infinity,33.81434,33.81434,
316.9061,Infinity,33.81434,33.81434,
317.3768,Infinity,33.81434,33.81434,
317.8596,Infinity,33.81434,33.81434,
318.3528,Infinity,33.81434,33.81434,
318.8551,Infinity,33.81434,33.81434,
319.3649,Infinity,33.81434,33.81434,
319.8806,Infinity,33.81434,33.81434,
320.4009,Infinity,33.81434,33.81434,
320.9241,Infinity,33.81434,33.81434,
321.4489,Infinity,33.81434,33.81434,
321.9736,Infinity,33.81434,33.81434,
322.4969,Infinity,33.81434,33.81434,
323.0172,Infinity,33.81434,33.81434,
323.5329,Infinity,33.81434,33.44751,
324.0427,Infinity,33.81434,31.67032,
324.5449,Infinity,33.81434,29.8228,
325.0381,Infinity,33.81434,27.91041,
325.5209,Infinity,33.81434,25.9398,
325.9916,Infinity,33.81434,23.91908,
326.4489,Infinity,33.81434,21.8584,
326.9078,11.75909,19.68635,19.68635,
327.3836,15.54594,22.59772,21.93813,
327.8746,20.96362,26.46666,24.14671,
328.3786,29.34751,31.76655,26.29828,
328.8936,44.23783,33.81434,28.3815,
329.4174,79.06114,33.81434,30.38656,
329.9476,270.3937,33.81434,32.30593,
330.4821,214.7841,33.81434,33.81434,
331.0185,78.3535,33.81434,33.64254,
331.5546,47.76673,33.81434,31.77952,
332.0883,33.93167,33.81434,29.81575,
332.6177,25.86001,29.66335,27.75482,
333.1407,20.47309,26.13071,25.60108,
333.6559,16.57551,23.3598,23.3598,
334.1618,13.60909,21.12993,21.12993,
334.6573,11.27979,19.30572,19.30572,
335.1418,9.418653,17.80182,17.80182,
335.6153,7.921756,16.5624,16.5624,
336.0783,6.721455,15.54932,15.54932,
336.5321,5.771582,14.93216,14.93216,
336.856,5.597058,14.93216,14.93216,
337.1911,6.458379,15.32499,15.32499,
337.5364,7.351789,16.08347,16.08347,
337.8909,8.249593,16.83612,16.83612,
