accelerationProfile
Time,Value,Skidding
18.24,109.7302,False
18.26,109.8051,False
18.28,109.8798,False
18.3,109.9544,False
18.32,110.0288,False
18.34,110.1031,False
18.36,110.1772,False
18.38,110.2511,False
18.4,110.3249,False
18.42,110.3986,False
18.44,110.472,False
18.46,110.5454,False
18.48,110.4655,False
18.5,110.3884,False
18.52,110.3128,False
18.54,110.0988,False
18.56,109.8879,False
18.58,109.6799,False
18.6,109.4749,False
18.62,109.273,False
18.64,109.074,False
18.66,108.8781,False
18.68,108.6852,False
18.7,108.4953,False
18.72,108.3084,False
18.74,108.1245,False
18.76,107.9436,False
18.78,107.7657,False
18.8,107.5908,False
18.82,107.4188,False
18.84,107.2499,False
18.86,107.084,False
18.88,106.921,False
18.9,106.761,False
18.92,106.604,False
18.94,106.45,False
18.96,106.2989,False
18.98,106.1507,False
19,106.0056,False
19.02,105.8633,False
19.04,105.724,False
19.06,105.5876,False
19.08,105.4542,False
19.1,105.3237,False
19.12,105.196,False
19.14,105.0713,False
19.16,104.9495,False
19.18,104.8305,False
19.2,104.7145,False
19.22,104.6013,False
19.24,104.491,False
19.26,104.3835,False
19.28,104.2788,False
19.3,104.177,False
19.32,104.078,False
19.34,103.9819,False
19.36,103.8885,False
19.38,103.7979,False
19.4,103.7102,False
19.42,103.6251,False
19.44,103.5429,False
19.46,103.4634,False
19.48,103.3866,False
19.5,103.3125,False
19.52,103.2412,False
19.54,103.1726,False
19.56,103.1066,False
19.58,103.0433,False
19.6,102.9827,False
19.62,102.9248,False
19.64,102.8694,False
19.66,102.8167,False
19.68,102.7666,False
19.7,102.7191,False
19.72,102.6742,False
19.74,102.6318,False
19.76,102.592,False
19.78,102.5547,False
19.8,102.52,False
19.82,102.4878,False
19.84,102.458,False
19.86,102.4307,False
19.88,102.4059,False
19.9,102.3836,False
19.92,102.3637,False
19.94,102.3461,False
19.96,102.331,False
19.98,102.3183,False
20,102.3079,False
